Campaign name,Domain,Campaign-template ID,Group ID
ADWORDS - HU - CardiolDen - ghirlema.tk,ghirlema.tk,1047,11
ADWORDS - HU - CardiolDen - raigaibroneden.tk,raigaibroneden.tk,1047,11
ADWORDS - HU - CardiolDen - haudiseni.tk,haudiseni.tk,1047,11
ADWORDS - HU - CardiolDen - irderhargcalefer.cf,irderhargcalefer.cf,1047,11
ADWORDS - HU - CardiolDen - tedtilod.ga,tedtilod.ga,1047,11
ADWORDS - HU - CardiolDen - pergoreast.ga,pergoreast.ga,1047,11
ADWORDS - HU - CardiolDen - slochardina.cf,slochardina.cf,1047,11
ADWORDS - HU - CardiolDen - knobinpertheo.ml,knobinpertheo.ml,1047,11
ADWORDS - HU - CardiolDen - liasogebosmonsres.tk,liasogebosmonsres.tk,1047,11
ADWORDS - HU - CardiolDen - clathchati.tk,clathchati.tk,1047,11
ADWORDS - HU - CardiolDen - unitadpakobe.tk,unitadpakobe.tk,1047,11
ADWORDS - HU - CardiolDen - erolawh.gq,erolawh.gq,1047,11
ADWORDS - HU - CardiolDen - anuspivehy.tk,anuspivehy.tk,1047,11
ADWORDS - HU - CardiolDen - cloudilstanri.tk,cloudilstanri.tk,1047,11
ADWORDS - HU - CardiolDen - gaulotronaquarva.ml,gaulotronaquarva.ml,1047,11
ADWORDS - HU - CardiolDen - scharirzopsonor.tk,scharirzopsonor.tk,1047,11
ADWORDS - HU - CardiolDen - mebilunchvesurf.ga,mebilunchvesurf.ga,1047,11
ADWORDS - HU - CardiolDen - kinromil.tk,kinromil.tk,1047,11
ADWORDS - HU - CardiolDen - cafesberotechso.tk,cafesberotechso.tk,1047,11
